endTime,artistName,trackName,msPlayed
2023-12-18 14:16,AP Dhillon,TERE TE,58960
2023-12-19 19:25,JVKE,this is what sadness feels like,4006
2023-12-20 08:27,Arijit Singh,"Satranga (From ""ANIMAL"")",755
2023-12-20 08:30,Manan Bhardwaj,Arjan Vailly,182170
2023-12-20 08:45,Anirudh Ravichander,"Chaleya (From ""Jawan"")",13929
2023-12-20 21:24,Panjabi MC,Dhol Jageero Da,3640
2023-12-21 09:06,CKay,love nwantiti (ah ah ah),145800
2023-12-21 09:12,Atif Aslam,Woh Lamhe Woh Baatein,320040
2023-12-21 09:16,OneRepublic,Counting Stars,257266
2023-12-21 09:22,Satinder Sartaaj,Udaarian,342585
2023-12-21 09:23,hazel,hotline bling (billie version),72972
2023-12-21 09:25,AP Dhillon,TERE TE,114418
2023-12-21 09:28,Rosa Linn,SNAP,179551
2023-12-21 09:42,OneRepublic,I Ain't Worried,123464
2023-12-21 09:54,OneRepublic,I Ain't Worried,22270
2023-12-21 09:56,Karan Aujla,Softly,155161
2023-12-21 10:00,Diljit Dosanjh,Hass Hass,153016
2023-12-21 10:03,Sharn,Mi Amor,203048
2023-12-21 10:05,Guru Randhawa,Chill Mode,107504
2023-12-21 10:09,Sharn,Mi Amor,179278
2023-12-21 10:13,Sharn,Mi Amor,225578
2023-12-21 10:14,Guru Randhawa,Chill Mode,81371
2023-12-21 10:18,Sharn,Mi Amor,203048
2023-12-21 10:20,Guru Randhawa,Chill Mode,99041
2023-12-21 10:20,Diljit Dosanjh,Kinni Kinni,3500
2023-12-21 10:20,Dilpreet Dhillon,Famous,1710
2023-12-21 10:22,Shubh,One Love,159222
2023-12-21 10:25,Diljit Dosanjh,Case,135500
2023-12-21 10:27,Prabh Singh,9:45,117606
2023-12-21 10:30,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",182170
2023-12-21 10:32,Dilpreet Dhillon,Bp Up Down,176428
2023-12-21 10:33,Guru Randhawa,Sunrise,47552
2023-12-21 10:34,Jassie Gill,Shart Lagake,8700
2023-12-21 10:34,SARRB,Kamlee,29320
2023-12-21 10:45,CKay,love nwantiti (ah ah ah),117300
2023-12-21 10:51,Atif Aslam,Woh Lamhe Woh Baatein,320040
2023-12-21 10:55,OneRepublic,Counting Stars,257266
2023-12-21 10:58,Satinder Sartaaj,Udaarian,152673
2023-12-21 10:58,Atif Aslam,Woh Lamhe Woh Baatein,2080
2023-12-21 10:58,OneRepublic,Counting Stars,950
2023-12-21 10:58,CKay,love nwantiti (ah ah ah),1510
2023-12-21 11:03,Atif Aslam,Woh Lamhe Woh Baatein,320040
2023-12-21 11:07,OneRepublic,Counting Stars,257266
2023-12-21 11:13,Satinder Sartaaj,Udaarian,342585
2023-12-21 11:14,hazel,hotline bling (billie version),72972
2023-12-21 11:17,OneRepublic,I Ain't Worried,148485
2023-12-21 11:20,Prateek Kuhad,Kasoor,197549
2023-12-21 11:24,Rashid Ali,Kabhi Kabhi Aditi,218836
2023-12-21 11:28,Prateek Kuhad,cold/mess,281218
2023-12-21 11:31,Dhruv,double take,171743
2023-12-21 11:35,Edith Whiskers,Home,195358
2023-12-21 11:37,Foster,fools (can't help falling in love) (feat. Sody),165029
2023-12-21 11:40,Lewis Capaldi,Someone You Loved,182160
2023-12-21 11:41,Duncan Laurence,Arcade,17673
2023-12-21 11:41,Edith Whiskers,Home,320
2023-12-21 11:41,Lewis Capaldi,Someone You Loved,1250
2023-12-21 11:41,Prateek Kuhad,cold/mess,490
2023-12-21 11:41,Dhruv,double take,750
2023-12-21 11:41,Foster,fools (can't help falling in love) (feat. Sody),280
2023-12-21 11:44,Rashid Ali,Kabhi Kabhi Aditi,218836
2023-12-21 11:49,Prateek Kuhad,cold/mess,281218
2023-12-21 11:52,Dhruv,double take,171743
2023-12-21 11:54,Edith Whiskers,Home,96081
2023-12-21 11:56,Foster,fools (can't help falling in love) (feat. Sody),165029
2023-12-21 11:59,Lewis Capaldi,Someone You Loved,182160
2023-12-21 12:02,Duncan Laurence,Arcade,183624
2023-12-21 12:07,Tom Odell,Another Love,244360
2023-12-21 12:09,Powfu,death bed (coffee for your head),173333
2023-12-21 12:14,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",253773
2023-12-21 12:17,Sharn,Mi Amor,203048
2023-12-21 12:20,SYML,Where's My Love,202000
2023-12-21 12:24,Petit Biscuit,Sunset Lover,237792
2023-12-21 12:26,Shae Gill,Pasoori,120008
2023-12-22 11:24,Anirudh Ravichander,"Chaleya (From ""Jawan"")",7578
2023-12-22 11:24,Anirudh Ravichander,"Chaleya (From ""Jawan"")",759
2023-12-22 11:31,Anirudh Ravichander,"Chaleya (From ""Jawan"")",8675
2023-12-22 11:50,Anirudh Ravichander,"Chaleya (From ""Jawan"")",5831
2023-12-22 12:56,Anirudh Ravichander,"Chaleya (From ""Jawan"")",2909
2023-12-22 13:04,Shae Gill,Pasoori,222578
2023-12-22 13:07,Anuv Jain,Baarishein,207312
2023-12-22 13:11,Anuv Jain,Alag Aasmaan,212750
2023-12-22 13:15,Anuv Jain,Gul,217250
2023-12-22 13:17,Sachet Tandon,Malang Sajna,161041
2023-12-22 13:19,Aditya A,Chaand Baaliyan,103264
2023-12-22 13:24,Pritam,Tum Se Hi,321225
2023-12-22 13:27,Karan Aujla,Softly,155161
2023-12-22 13:33,Satinder Sartaaj,Udaarian,342585
2023-12-22 13:35,AP Dhillon,TERE TE,114418
2023-12-22 13:36,hazel,hotline bling (billie version),72972
2023-12-22 13:37,Cheema Y,California Love,49198
2023-12-22 13:38,Alec Benjamin,Let Me Down Slowly,103600
2023-12-22 13:38,Rosa Linn,SNAP,2030
2023-12-22 13:41,OneRepublic,I Ain't Worried,148485
2023-12-22 13:43,CKay,love nwantiti (ah ah ah),145800
2023-12-22 13:46,Ritviz,Udd Gaye,161674
2023-12-22 13:49,Guru Randhawa,Moon Rise,174056
2023-12-22 13:50,Diljit Dosanjh,Jind Mahi,37993
2023-12-22 13:52,Maninder Buttar,Ik Tera,160768
2023-12-22 13:54,AP Dhillon,True Stories,117972
2023-12-22 13:57,Param Singh,Daru Badnaam,185333
2023-12-22 14:02,OneRepublic,Counting Stars,257266
2023-12-22 14:04,Vicky,Top Notch Gabru,158294
2023-12-22 14:10,Atif Aslam,Woh Lamhe Woh Baatein,320040
2023-12-22 14:13,Elley Duhé,MIDDLE OF THE NIGHT,184453
2023-12-22 14:16,Diljit Dosanjh,Clash,176385
2023-12-22 14:20,King,Tu Aake Dekhle,270000
2023-12-22 14:22,JVKE,this is what falling in love feels like,120308
2023-12-22 14:25,Aditya Rikhari,Samjho Na,172408
2023-12-22 14:29,Måneskin,Beggin',211560
2023-12-22 14:31,Tyson Sidhu,GODSPEED,127200
2023-12-22 14:34,Mitraz,Akhiyaan,191868
2023-12-22 14:37,Pav Dharia,Na Ja,208000
2023-12-22 14:40,Lana Del Rey,Summertime Sadness,139800
2023-12-22 14:43,The Weeknd,Blinding Lights,200040
2023-12-22 14:46,Diljit Dosanjh,Lemonade,166666
2023-12-22 14:49,Harry Styles,As It Was,167303
2023-12-22 14:51,Anubha Bajaj,Lamhey,148966
2023-12-22 14:55,Aditya Rikhari,Faasle,221988
2023-12-22 14:59,AP Dhillon,Brown Munde,254400
2023-12-22 15:03,AUR,Tu hai kahan,263184
2023-12-22 15:05,vaultboy,everything sucks,115401
2023-12-22 15:08,KALEO,Way down We Go,176479
2023-12-22 15:08,Arctic Monkeys,I Wanna Be Yours,6620
2023-12-22 15:12,Arctic Monkeys,I Wanna Be Yours,177576
2023-12-22 15:14,Anubha Bajaj,Lamhey,148966
2023-12-22 15:18,AUR,Tu hai kahan,263184
2023-12-22 15:24,Manan Bhardwaj,Arjan Vailly,337782
2023-12-22 15:25,Prateek Kuhad,Kahaan Ho Tum,46339
2023-12-22 15:28,Manan Bhardwaj,Arjan Vailly,182170
2023-12-22 15:30,Prateek Kuhad,Kahaan Ho Tum,112007
2023-12-22 15:32,Maninder Buttar,Ik Tera,160768
2023-12-22 15:36,Sachin-Jigar,Jeena Jeena,228969
2023-12-22 15:39,benny blanco,Eastside (with Halsey & Khalid),170769
2023-12-22 15:42,Jass Manak,Prada,182115
2023-12-22 15:45,Alec Benjamin,Let Me Down Slowly,169353
2023-12-22 15:48,AP Dhillon,With You,154554
2023-12-22 15:49,Diljit Dosanjh,Clash,75742
2023-12-22 16:01,Tally Hall,Hidden In the Sand,1623
2023-12-22 16:01,Surf Curse,Freaks,26420
2023-12-22 16:01,Surf Curse,Freaks,932
2023-12-22 16:01,JVKE,this is what falling in love feels like,3231
2023-12-22 16:03,Harry Styles,As It Was,148100
2023-12-24 10:26,Hasan Raheem,Wishes,218400
2023-12-24 10:30,Sharn,Mi Amor,203048
2023-12-24 10:32,Karan Aujla,Softly,155161
2023-12-24 10:34,AP Dhillon,TERE TE,114418
2023-12-24 10:39,King,Tu Aake Dekhle,270000
2023-12-24 10:42,Diljit Dosanjh,Lemonade,166666
2023-12-24 10:45,Maninder Buttar,Ik Tera,160768
2023-12-24 10:48,Rashid Ali,Kabhi Kabhi Aditi,218836
2023-12-24 10:51,Seedhe Maut,Khatta Flow,152415
2023-12-24 10:53,AP Dhillon,True Stories,117972
2023-12-24 10:57,Diljit Dosanjh,Hass Hass,29865
2023-12-24 10:57,Aditya Rikhari,Faasle,221988
2023-12-24 18:18,Talha Anjum,Downers At Dusk,174556
